n,nombre_ejercicio,confianza,archivo
1,"Remo en polea",media,001-remo-en-polea.jpg
2,"(sin asignar - revisar a mano)",baja,002-SIN-ASIGNAR.jpg
3,"(sin asignar - revisar a mano)",baja,003-SIN-ASIGNAR.jpg
4,"Pulldown unilateral",alta,004-pulldown-unilateral.jpg
5,"Remo con mancuerna",alta,005-remo-con-mancuerna.jpg
6,"Curl predicador",media,006-curl-predicador.jpg
7,"Curl con barra",media,007-curl-con-barra.jpg
8,"(sin asignar - revisar a mano)",baja,008-SIN-ASIGNAR.jpg
9,"(sin asignar - revisar a mano)",baja,009-SIN-ASIGNAR.jpg
10,"Peso muerto rumano",media,010-peso-muerto-rumano.jpg
11,"Hiperextensiones",media,011-hiperextensiones.jpg
12,"Patada de gluteo",media,012-patada-de-gluteo.jpg
13,"(sin asignar - revisar a mano)",baja,013-SIN-ASIGNAR.jpg
14,"Hiperextensiones",media,014-hiperextensiones-2.jpg
15,"Pull Through",media,015-pull-through.jpg
16,"(sin asignar - revisar a mano)",baja,016-SIN-ASIGNAR.jpg
17,"Elevacion de piernas",media,017-elevacion-de-piernas.jpg
18,"Elevacion de piernas",media,018-elevacion-de-piernas-2.jpg
19,"(sin asignar - revisar a mano)",baja,019-SIN-ASIGNAR.jpg
20,"Face Pull",alta,020-face-pull.jpg
21,"Sentadilla",media,021-sentadilla.jpg
22,"Extension sobre la cabeza",media,022-extension-sobre-la-cabeza.jpg
23,"Pullover en polea",media,023-pullover-en-polea.jpg
24,"(sin asignar - revisar a mano)",baja,024-SIN-ASIGNAR.jpg
25,"Press militar",media,025-press-militar.jpg
26,"(sin asignar - revisar a mano)",baja,026-SIN-ASIGNAR.jpg
27,"(sin asignar - revisar a mano)",baja,027-SIN-ASIGNAR.jpg
28,"Sentadilla",media,028-sentadilla-2.jpg
29,"Aperturas con mancuernas",alta,029-aperturas-con-mancuernas.jpg
30,"Curl en polea",media,030-curl-en-polea.jpg
31,"(sin asignar - revisar a mano)",baja,031-SIN-ASIGNAR.jpg
32,"Elevaciones laterales",media,032-elevaciones-laterales.jpg
33,"Elevaciones frontales",media,033-elevaciones-frontales.jpg
34,"(sin asignar - revisar a mano)",baja,034-SIN-ASIGNAR.jpg
35,"Patada de triceps",media,035-patada-de-triceps.jpg
36,"(sin asignar - revisar a mano)",baja,036-SIN-ASIGNAR.jpg
37,"Zancadas",media,037-zancadas.jpg
38,"Bicicleta Spinning",alta,038-bicicleta-spinning.jpg
39,"Press de hombros con mancuernas",alta,039-press-de-hombros-con-mancuernas.jpg
40,"Remo con mancuerna",alta,040-remo-con-mancuerna-2.jpg
41,"(sin asignar - revisar a mano)",baja,041-SIN-ASIGNAR.jpg
42,"(sin asignar - revisar a mano)",baja,042-SIN-ASIGNAR.jpg
43,"Sentadilla",media,043-sentadilla-3.jpg
44,"Face Pull",media,044-face-pull-2.jpg
45,"Extension sobre la cabeza",media,045-extension-sobre-la-cabeza-2.jpg
46,"(sin asignar - revisar a mano)",baja,046-SIN-ASIGNAR.jpg
47,"(sin asignar - revisar a mano)",baja,047-SIN-ASIGNAR.jpg
48,"Hip Thrust",alta,048-hip-thrust.jpg
49,"(sin asignar - revisar a mano)",baja,049-SIN-ASIGNAR.jpg
50,"Fondos",alta,050-fondos.jpg
51,"(sin asignar - revisar a mano)",baja,051-SIN-ASIGNAR.jpg
52,"Press inclinado",media,052-press-inclinado.jpg
53,"Peso muerto rumano",media,053-peso-muerto-rumano-2.jpg
54,"Curl concentrado",media,054-curl-concentrado.jpg
55,"(sin asignar - revisar a mano)",baja,055-SIN-ASIGNAR.jpg
56,"Crunch",alta,056-crunch.jpg
57,"Press de hombros con mancuernas",media,057-press-de-hombros-con-mancuernas-2.jpg
58,"Extension sobre la cabeza",media,058-extension-sobre-la-cabeza-3.jpg
59,"(sin asignar - revisar a mano)",baja,059-SIN-ASIGNAR.jpg
60,"(sin asignar - revisar a mano)",baja,060-SIN-ASIGNAR.jpg
61,"Peck Deck",alta,061-peck-deck.jpg
62,"Mountain Climbers",media,062-mountain-climbers.jpg
63,"Plancha",alta,063-plancha.jpg
64,"(sin asignar - revisar a mano)",baja,064-SIN-ASIGNAR.jpg
65,"Sentadilla",media,065-sentadilla-4.jpg
66,"(sin asignar - revisar a mano)",baja,066-SIN-ASIGNAR.jpg
67,"(sin asignar - revisar a mano)",baja,067-SIN-ASIGNAR.jpg
68,"Sentadilla bulgara",alta,068-sentadilla-bulgara.jpg
69,"Kettlebell Swing",alta,069-kettlebell-swing.jpg
70,"Cruce de poleas",alta,070-cruce-de-poleas.jpg
71,"(sin asignar - revisar a mano)",baja,071-SIN-ASIGNAR.jpg
72,"(sin asignar - revisar a mano)",baja,072-SIN-ASIGNAR.jpg
73,"Puente de gluteos",media,073-puente-de-gluteos.jpg
74,"Curl predicador",media,074-curl-predicador-2.jpg
75,"Remo T-Bar",media,075-remo-t-bar.jpg
76,"Extension de cuadriceps",media,076-extension-de-cuadriceps.jpg
77,"(sin asignar - revisar a mano)",baja,077-SIN-ASIGNAR.jpg
78,"Patada de gluteo",media,078-patada-de-gluteo-2.jpg
79,"Plancha lateral",alta,079-plancha-lateral.jpg
80,"Patada de gluteo",media,080-patada-de-gluteo-3.jpg
81,"Russian Twist",media,081-russian-twist.jpg
82,"(sin asignar - revisar a mano)",baja,082-SIN-ASIGNAR.jpg
83,"(sin asignar - revisar a mano)",baja,083-SIN-ASIGNAR.jpg
84,"Step Up",alta,084-step-up.jpg
85,"Extension de cuadriceps",alta,085-extension-de-cuadriceps-2.jpg
86,"Extension de cuadriceps",alta,086-extension-de-cuadriceps-3.jpg
87,"(sin asignar - revisar a mano)",baja,087-SIN-ASIGNAR.jpg
88,"Elevacion de piernas",media,088-elevacion-de-piernas-3.jpg
